GeneID	Fitted.with.Significant.Coefficients	Fitted.with.Significant.Coefficients.No.Limma
ENSG00000087448	0.1185773	1.7009187
ENSG00000087470	-0.0776343	-0.0970429
ENSG00000087586	1.1642188	3.1562170
ENSG00000087916	-1.6521123	-1.0729858
ENSG00000088002	-3.3010345	-4.1262931
ENSG00000088320	-1.6264885	-0.9340222
ENSG00000088325	0.0429887	1.6218612
ENSG00000088340	-5.8363719	-6.1201422
ENSG00000088756	-2.7509130	-1.6951337
ENSG00000088832	0.1075301	1.7001976
ENSG00000088836	1.9248887	4.1051983
ENSG00000088881	-3.0617913	-2.2086385
ENSG00000088882	-4.8926794	-4.7373430
ENSG00000088888	-0.0776343	-0.0970429
ENSG00000088930	-0.0776343	-0.0970429
ENSG00000088970	-2.9833845	-1.8209118
ENSG00000088986	-0.0776343	-0.0970429
ENSG00000088992	-3.1335994	-2.2928023
ENSG00000089057	-0.0037529	1.5690643
ENSG00000089154	-0.0776343	-0.0970429
ENSG00000089356	-2.5910263	-3.2387829
ENSG00000089597	-0.0776343	-0.0970429
ENSG00000089692	-3.6411399	-3.0593579
ENSG00000089820	-2.6719389	-1.6940242
ENSG00000089847	-1.8903640	-0.8808981
ENSG00000089876	1.1252865	3.1082260
ENSG00000089902	-0.0776343	-0.0970429
ENSG00000090054	-0.0776343	-0.0970429
ENSG00000090060	-0.0776343	-0.0970429
ENSG00000090316	-0.0776343	-0.0970429
ENSG00000090376	1.3758557	3.4320157
ENSG00000090382	-26.7217572	-31.1798187
ENSG00000090530	-1.1217150	-1.4021437
ENSG00000090539	-1.7690296	-0.9226271
ENSG00000090659	-1.3860797	0.0000000
ENSG00000090857	-0.0776343	-0.0970429
ENSG00000090889	0.3248898	1.9459549
ENSG00000090920	-1.6719196	-1.0350684
ENSG00000091009	-1.3860797	0.0000000
ENSG00000091106	-1.8520089	-0.7945833
ENSG00000091262	-1.8622635	-0.8614275
ENSG00000091428	-0.2060272	-0.2575340
ENSG00000091483	1.0547134	3.0211959
ENSG00000091513	-3.2717110	-4.0896388
ENSG00000091527	-0.0776343	-0.0970429
ENSG00000091536	-1.8768546	-0.8235196
ENSG00000091592	-1.2292859	-1.5366073
ENSG00000091651	-1.8730791	-2.3413489
ENSG00000091831	-0.2060272	-0.2575340
ENSG00000091844	-1.5678208	0.1133665
ENSG00000092068	1.6280956	3.7268274
ENSG00000092148	-0.0776343	-0.0970429
ENSG00000092201	-0.0776343	-0.0970429
ENSG00000092295	-6.9444098	-6.8201130
ENSG00000092607	-1.7092239	-0.9111522
ENSG00000092847	-0.0776343	-0.0970429
ENSG00000092853	-0.0776343	-0.0970429
ENSG00000092929	-12.1442890	-13.3108474
ENSG00000092969	-1.3332360	-1.6665450
ENSG00000093000	-0.0776343	-0.0970429
ENSG00000093144	-0.0776343	-0.0970429
ENSG00000093183	-0.0776343	-0.0970429
ENSG00000094755	-3.6402673	-2.9818632
